tf,pair,strat,params,n,wr,pips,pf,source
D1,AUDUSD,supertrend,(default),8,62.5,586.7,2.95,v6
D1,EURUSD,supertrend,"(10,2.0,14,1.5,2.5)",18,61.1,1067.7,2.04,v7
D1,EURUSD,supertrend,"(7,2.0,14,1.5,2.5)",18,61.1,823.8,1.78,v7
D1,EURUSD,super_adx15,(ADX>15),15,60.0,822.9,1.88,v9
D1,EURUSD,supertrend,"(10,2.0,14,2.5,4.0)",17,58.8,1469.4,2.15,v7
D1,GBPUSD,ema_macd,"(3,10,50,14,1.5,2.5)",16,56.2,1166.0,2.0,v7
D1,GBPUSD,ichimoku,(default),31,54.8,2385.8,1.82,v8
D1,GBPUSD,ema_macd,"(5,13,50,14,2.0,3.0)",11,54.5,1153.5,2.25,v7
D1,GBPUSD,ema_macd,"(5,13,50,10,1.5,2.5)",11,54.5,1046.4,2.52,v7
D1,GBPUSD,ema_macd,"(5,13,50,14,1.5,2.5)",11,54.5,1037.9,2.5,v6
D1,GBPUSD,ema_macd,"(5,13,50,14,1.0,2.0)",11,54.5,922.4,3.0,v7
M15,XAUUSD,supertrend,"(10,2.0,14,2.5,4.0)",42,52.4,26039.9,1.57,v7
M30,XAUUSD,bb_squeeze,(default),35,51.4,44136.6,2.03,v8
M15,XAUUSD,supertrend,"(10,2.0,14,2.0,3.0)",44,50.0,19452.2,1.44,v7
M30,XAUUSD,super_adx25,(ADX>25),16,50.0,12005.6,1.51,v9
D1,GBPUSD,keltner,"(50,2.0,21,2.0,3.0)",46,50.0,2396.9,1.51,v7
D1,GBPUSD,ema_macd,"(5,13,50,14,2.0,4.0)",10,50.0,1488.6,2.62,v7
D1,EURUSD,super_adx20,(ADX>20),10,50.0,195.7,1.26,v9
M30,XAUUSD,keltner,"(20,2.0,14,2.0,3.0)",83,49.4,130426.0,1.82,v7
D1,EURUSD,ichimoku,(default),62,46.8,1306.0,1.23,v8
