n,wr,total_pips,pf,avg,cfg,pair,spread,bars,date_range
32,53.125,1776.8367359637239,1.7203101930377331,55.52614799886637,"ema_macd (5,13,50,2.0,3.0)",AUDUSD,1.9,5223,2006-05-16 → 2026-06-13
36,50.0,1160.3859310588605,1.4657925110234167,32.23294252941279,"ema_macd (5,13,50,1.5,2.5)",AUDUSD,1.9,5223,2006-05-16 → 2026-06-13
101,49.504950495049506,4654.0123134751875,1.4174344271022994,46.079329836388,"ichimoku (9,26,52)",GBPUSD,3.0,5858,2003-12-01 → 2026-06-12
47,46.808510638297875,1554.1854137990542,1.3097706649237228,33.067774761682,"ema_macd (5,13,50,2.0,3.0)",USDJPY,2.7,7681,1996-10-30 → 2026-06-13
44,45.45454545454545,14934.075609390296,1.2390165344680304,339.4108093043249,"ema_macd (5,13,50,1.5,2.5)",XAUUSD,28.0,6470,2000-08-30 → 2026-06-12
115,45.21739130434783,36873.76172414703,1.2046983919000984,320.6414062969307,"ichimoku (9,26,52)",XAUUSD,28.0,6470,2000-08-30 → 2026-06-12
41,43.90243902439025,7129.743957647148,1.0930108485630265,173.89619408895481,"ema_macd (5,13,50,2.0,3.0)",XAUUSD,28.0,6470,2000-08-30 → 2026-06-12
64,43.75,1904.4732481205237,1.2466355776870803,29.757394501883184,"ema_macd (3,10,50,1.5,2.5)",GBPUSD,3.0,5858,2003-12-01 → 2026-06-12
135,43.7037037037037,3482.597403417326,1.2786870211456496,25.797017803091304,"ichimoku (9,26,52)",USDJPY,2.7,7681,1996-10-30 → 2026-06-13
58,43.103448275862064,806.6686901561358,1.1702272320918634,13.908080864760962,"ema_macd (3,10,50,1.5,2.5)",USDCHF,2.0,5913,2003-09-17 → 2026-06-13
52,42.30769230769231,2190.606992229639,1.5255690388347645,42.12705754287768,"ema_macd (5,13,50,1.5,2.5)",USDJPY,2.7,7681,1996-10-30 → 2026-06-13
93,41.935483870967744,1076.351118288668,1.1329166649595763,11.573667938587828,"ichimoku (9,26,52)",USDCHF,2.0,5913,2003-09-17 → 2026-06-13
