n,wr,total_pips,pf,avg,tf,pair,strat,spread_pts,bars,date_range
128,42.96875,97150.96727864325,1.46128308521665,758.9919318644004,M30,XAUUSD,keltner_macd,28,5000,2026-01-09 → 2026-06-12
142,41.54929577464789,44717.99696004057,1.188920546289335,314.91547154958147,M30,XAUUSD,smc_fvg,28,5000,2026-01-09 → 2026-06-12
44,50.0,19452.15262267411,1.443734911423442,442.094377788048,M15,XAUUSD,supertrend,28,5000,2026-03-27 → 2026-06-12
74,36.486486486486484,11932.872753825908,1.1045778208326038,161.25503721386363,M30,XAUUSD,heiken_ema,28,5000,2026-01-09 → 2026-06-12
11,54.54545454545454,1037.9438577143208,2.5034951244967165,94.3585325194837,D1,GBPUSD,ema_macd,8,2284,2017-06-12 → 2026-06-12
47,40.42553191489361,694.8094465934184,1.2947832112837163,14.783179714753583,D1,AUDUSD,heiken_ema,9,2284,2017-06-12 → 2026-06-12
17,52.94117647058824,668.5641998131132,1.4528682464328266,39.3273058713596,D1,EURUSD,supertrend,0,3730,2011-12-07 → 2026-06-12
8,62.5,586.6503110815057,2.9520395929369188,73.33128888518821,D1,AUDUSD,supertrend,9,2284,2017-06-12 → 2026-06-12
30,46.666666666666664,437.19780075634594,1.1626162187055509,14.573260025211532,D1,GBPUSD,heiken_ema,8,2284,2017-06-12 → 2026-06-12
27,40.74074074074074,302.35121900604736,1.1588778619394933,11.198193296520273,D1,EURUSD,ema_macd,0,3730,2011-12-07 → 2026-06-12
73,38.35616438356164,228.88679512887524,1.0330994567534215,3.1354355497106194,D1,GBPUSD,keltner_macd,8,2284,2017-06-12 → 2026-06-12
66,37.878787878787875,35.571063828176946,1.0088266209650172,0.5389555125481356,D1,AUDUSD,smc_fvg,9,2284,2017-06-12 → 2026-06-12
19,36.84210526315789,-1.4038682337514388,0.9986835597320367,-0.07388780177639151,D1,AUDUSD,ema_macd,9,2284,2017-06-12 → 2026-06-12
39,20.51282051282051,-232.93176532278028,0.47100020421460986,-5.972609367250777,M30,AUDUSD,ema_macd,9,5000,2026-01-19 → 2026-06-12
39,15.384615384615385,-267.25996340798423,0.4109555611983312,-6.852819574563698,M30,EURUSD,ema_macd,9,5000,2026-01-19 → 2026-06-12
46,0.0,-341.9436426225974,0.0,-7.433557448317335,M15,EURUSD,ema_macd,9,5000,2026-04-01 → 2026-06-12
54,0.0,-358.9485459144903,0.0,-6.647195294712783,M15,USDCHF,ema_macd,12,5000,2026-04-01 → 2026-06-12
43,9.30232558139535,-362.55262265577494,0.16716614741573543,-8.431456340831975,M15,AUDUSD,supertrend,9,5000,2026-04-01 → 2026-06-12
42,0.0,-382.47277033581213,0.0,-9.106494531805051,M15,USDJPY,ema_macd,13,5000,2026-04-01 → 2026-06-12
44,9.090909090909092,-390.39855019642476,0.14991915315160992,-8.872694322646018,M15,EURUSD,supertrend,9,5000,2026-04-01 → 2026-06-12
59,1.694915254237288,-430.5417932305191,0.03885149803240921,-7.297318529330832,M15,AUDUSD,ema_macd,9,5000,2026-04-01 → 2026-06-12
120,35.833333333333336,-447.91363662524896,0.953406611634592,-3.732613638543741,D1,EURUSD,keltner_macd,0,3730,2011-12-07 → 2026-06-12
57,17.543859649122805,-463.42769145926184,0.4572181558157898,-8.130310376478278,M30,USDJPY,ema_macd,13,5000,2026-01-19 → 2026-06-12
39,5.128205128205128,-489.65445656344855,0.09430512372970733,-12.55524247598586,M15,USDJPY,supertrend,13,5000,2026-04-01 → 2026-06-12
48,12.5,-490.92603428690046,0.2722148014981598,-10.227625714310426,M30,USDCHF,supertrend,12,5000,2026-01-19 → 2026-06-12
49,2.0408163265306123,-505.6425620361249,0.07355736026756528,-10.319235959920917,M30,USDCHF,ema_macd,12,5000,2026-01-19 → 2026-06-12
55,5.454545454545454,-507.0035246588378,0.10376544815747794,-9.21824590288796,M15,GBPUSD,ema_macd,10,5000,2026-04-01 → 2026-06-12
9,33.33333333333333,-518.7521138797146,0.5908495705340583,-57.63912376441273,D1,GBPUSD,supertrend,8,2284,2017-06-12 → 2026-06-12
52,13.461538461538462,-543.4654610040379,0.2205726347934115,-10.451258865462268,M15,GBPUSD,supertrend,10,5000,2026-04-01 → 2026-06-12
48,14.583333333333334,-552.0113350711098,0.28521657767622566,-11.500236147314787,M30,EURUSD,supertrend,9,5000,2026-01-19 → 2026-06-12
57,0.0,-558.3059937798573,0.0,-9.794841996137848,M15,USDCHF,supertrend,12,5000,2026-04-01 → 2026-06-12
43,18.6046511627907,-564.5618598199803,0.4085409426999555,-13.129345577208845,M30,USDJPY,supertrend,13,5000,2026-01-19 → 2026-06-12
37,10.81081081081081,-565.9895132098158,0.1570994124591341,-15.297013870535562,M30,AUDUSD,supertrend,9,5000,2026-01-19 → 2026-06-12
91,3.296703296703297,-594.521026277164,0.08158861203287063,-6.533198090957846,M15,EURUSD,heiken_ema,9,5000,2026-04-01 → 2026-06-12
100,0.0,-665.218057075213,0.0,-6.6521805707521295,M15,USDCHF,heiken_ema,12,5000,2026-04-01 → 2026-06-12
48,14.583333333333334,-699.7566073332838,0.3156196807272925,-14.578262652776745,M30,GBPUSD,supertrend,10,5000,2026-01-19 → 2026-06-12
83,4.819277108433735,-704.0163437179216,0.0788916258456424,-8.48212462310749,M15,GBPUSD,heiken_ema,10,5000,2026-04-01 → 2026-06-12
52,36.53846153846153,-723.0217464224099,0.8316892636059441,-13.904264354277114,D1,EURUSD,heiken_ema,0,3730,2011-12-07 → 2026-06-12
100,1.0,-727.0757192819776,0.015785266348389036,-7.270757192819776,M15,AUDUSD,heiken_ema,9,5000,2026-04-01 → 2026-06-12
82,9.75609756097561,-800.9665572898726,0.19797732495184747,-9.767884844998447,M30,AUDUSD,heiken_ema,9,5000,2026-01-19 → 2026-06-12
84,14.285714285714285,-820.1461980844073,0.3821537967565924,-9.763645215290563,M30,USDJPY,heiken_ema,13,5000,2026-01-19 → 2026-06-12
68,33.82352941176471,-845.469653460712,0.812848321794959,-12.433377256775177,D1,AUDUSD,keltner_macd,9,2284,2017-06-12 → 2026-06-12
57,5.263157894736842,-886.3717872661958,0.10653731167105426,-15.550382232740278,M30,GBPUSD,ema_macd,10,5000,2026-01-19 → 2026-06-12
91,2.197802197802198,-971.340465987047,0.06227090379875196,-10.674071054802713,M30,USDCHF,heiken_ema,12,5000,2026-01-19 → 2026-06-12
101,0.9900990099009901,-977.6911990098057,0.02250334751176495,-9.680110881285206,M15,USDJPY,heiken_ema,13,5000,2026-04-01 → 2026-06-12
83,3.614457831325301,-1008.6860133609819,0.0786579738752735,-12.15284353446966,M30,EURUSD,heiken_ema,9,5000,2026-01-19 → 2026-06-12
82,9.75609756097561,-1014.2352386947052,0.21917926487602002,-12.368722423106162,M30,GBPUSD,heiken_ema,10,5000,2026-01-19 → 2026-06-12
182,2.7472527472527473,-1303.4741628403328,0.07527843825823952,-7.161945949672158,M15,EURUSD,smc_fvg,9,5000,2026-04-01 → 2026-06-12
188,2.6595744680851063,-1367.4164641136647,0.06306012680373878,-7.2734918303918334,M15,AUDUSD,keltner_macd,9,5000,2026-04-01 → 2026-06-12
196,2.0408163265306123,-1445.6078531056592,0.05353317231916757,-7.37555027094724,M15,AUDUSD,smc_fvg,9,5000,2026-04-01 → 2026-06-12
179,11.1731843575419,-1489.8826732780378,0.27683284520115903,-8.32336688982144,M30,EURUSD,smc_fvg,9,5000,2026-01-19 → 2026-06-12
184,4.891304347826087,-1534.0825862027718,0.13847498742413616,-8.337405359797673,M15,GBPUSD,smc_fvg,10,5000,2026-04-01 → 2026-06-12
198,1.5151515151515151,-1560.7938471970417,0.038499908478944654,-7.882797208065867,M15,EURUSD,keltner_macd,9,5000,2026-04-01 → 2026-06-12
168,11.904761904761903,-1565.001288670755,0.25405916424457087,-9.315483861135446,M30,AUDUSD,keltner_macd,9,5000,2026-01-19 → 2026-06-12
222,0.45045045045045046,-1584.8884472985033,0.016763796509522855,-7.139137149993258,M15,USDCHF,smc_fvg,12,5000,2026-04-01 → 2026-06-12
223,0.0,-1595.950352072195,0.0,-7.156728036198184,M15,USDCHF,keltner_macd,12,5000,2026-04-01 → 2026-06-12
204,2.941176470588235,-1727.3632003684202,0.09896956312561257,-8.467466668472648,M15,USDJPY,smc_fvg,13,5000,2026-04-01 → 2026-06-12
167,14.37125748502994,-1818.4820548838786,0.307693776257357,-10.88911410110107,M30,GBPUSD,smc_fvg,10,5000,2026-01-19 → 2026-06-12
194,9.278350515463918,-1823.532509892534,0.22526983528192646,-9.399652112848115,M30,EURUSD,keltner_macd,9,5000,2026-01-19 → 2026-06-12
216,5.555555555555555,-1976.725852699371,0.1153076243858621,-9.151508577311903,M15,GBPUSD,keltner_macd,10,5000,2026-04-01 → 2026-06-12
77,32.467532467532465,-1980.261371803678,0.7635265054406933,-25.71768015329452,D1,GBPUSD,smc_fvg,8,2284,2017-06-12 → 2026-06-12
