n,wr,total_pips,pf,avg,tf,pair,strat,params,spread,bars
8,62.5,586.6503110815057,2.9520395929369188,73.33128888518821,D1,AUDUSD,supertrend,"(10, 2.0, 14, 2.0, 3.0)",9,2284
8,62.5,384.98993835178845,2.178590397699833,48.12374229397356,D1,AUDUSD,supertrend,"(10, 2.0, 14, 1.5, 2.5)",9,2284
18,61.111111111111114,1067.7359264142083,2.042146685818892,59.31866257856713,D1,EURUSD,supertrend,"(10, 2.0, 14, 1.5, 2.5)",0,3730
18,61.111111111111114,823.8290057049214,1.7832634235354348,45.76827809471786,D1,EURUSD,supertrend,"(7, 2.0, 14, 1.5, 2.5)",0,3730
17,58.82352941176471,1469.4081899987664,2.1531921240197462,86.43577588228038,D1,EURUSD,supertrend,"(10, 2.0, 14, 2.5, 4.0)",0,3730
7,57.14285714285714,265.2885961737305,1.8121422430108425,37.898370881961505,D1,AUDUSD,supertrend,"(7, 2.0, 14, 1.5, 2.5)",9,2284
16,56.25,1166.0448700070501,1.99805016653498,72.87780437544063,D1,GBPUSD,ema_macd,"(3, 10, 50, 14, 1.5, 2.5)",8,2284
11,54.54545454545454,1153.4854306284358,2.253145612047049,104.86231187531234,D1,GBPUSD,ema_macd,"(5, 13, 50, 14, 2.0, 3.0)",8,2284
11,54.54545454545454,1046.3952670315944,2.5225051745193285,95.12684245741767,D1,GBPUSD,ema_macd,"(5, 13, 50, 10, 1.5, 2.5)",8,2284
11,54.54545454545454,1037.9438577143208,2.5034951244967165,94.3585325194837,D1,GBPUSD,ema_macd,"(5, 13, 50, 14, 1.5, 2.5)",8,2284
11,54.54545454545454,922.4022848002055,3.0041941493960405,83.85475316365505,D1,GBPUSD,ema_macd,"(5, 13, 50, 14, 1.0, 2.0)",8,2284
17,52.94117647058824,668.5641998131132,1.4528682464328266,39.3273058713596,D1,EURUSD,supertrend,"(10, 2.0, 14, 2.0, 3.0)",0,3730
42,52.38095238095239,26039.93822284001,1.5691952711390458,619.9985291152383,M15,XAUUSD,supertrend,"(10, 2.0, 14, 2.5, 4.0)",28,5000
44,50.0,19452.15262267411,1.443734911423442,442.094377788048,M15,XAUUSD,supertrend,"(10, 2.0, 14, 2.0, 3.0)",28,5000
16,50.0,16354.650035028226,1.805288232376123,1022.1656271892641,M15,XAUUSD,supertrend,"(14, 3.0, 14, 2.5, 4.0)",28,5000
30,50.0,13257.19493743345,1.381499208573657,441.9064979144484,M15,XAUUSD,supertrend,"(14, 2.5, 14, 2.0, 3.0)",28,5000
16,50.0,8485.50375977402,1.4500552511585174,530.3439849858762,M15,XAUUSD,supertrend,"(10, 3.0, 14, 2.0, 3.0)",28,5000
46,50.0,2396.903149570632,1.511862586320328,52.10659020805722,D1,GBPUSD,keltner,"(50, 2.0, 21, 2.0, 3.0)",8,2284
10,50.0,1488.6403047469266,2.6194364681447464,148.86403047469267,D1,GBPUSD,ema_macd,"(5, 13, 50, 14, 2.0, 4.0)",8,2284
10,50.0,324.6306916749919,1.4084995758125176,32.46306916749919,D1,GBPUSD,supertrend,"(7, 2.0, 14, 1.5, 2.5)",8,2284
10,50.0,277.85495251447577,1.3377871056640862,27.78549525144758,D1,GBPUSD,supertrend,"(10, 2.0, 14, 1.5, 2.5)",8,2284
8,50.0,197.41350720914318,1.2338573470038292,24.676688401142897,D1,EURUSD,supertrend,"(14, 2.5, 14, 2.0, 3.0)",0,3730
8,50.0,160.1437896026625,1.1897073928986128,20.017973700332814,D1,EURUSD,supertrend,"(10, 2.5, 14, 2.0, 3.0)",0,3730
83,49.39759036144578,130426.00569013691,1.824070358706655,1571.3976589173121,M30,XAUUSD,keltner,"(20, 2.0, 14, 2.0, 3.0)",28,5000
74,48.64864864864865,54992.56975186637,1.3720531944626464,743.1428344846807,M30,XAUUSD,donchian,"(100, 21, 2.0, 3.0)",28,5000
68,48.529411764705884,19924.82437831677,1.2480052113377547,293.0121232105407,M15,XAUUSD,keltner,"(20, 2.0, 14, 2.0, 3.0)",28,5000
31,48.38709677419355,10553.109545634834,1.286871866009946,340.42288856886563,M15,XAUUSD,supertrend,"(10, 2.5, 14, 2.0, 3.0)",28,5000
42,47.61904761904761,800.1316377921485,1.41822432669967,19.05075328076544,D1,EURUSD,ema_macd,"(3, 8, 50, 14, 1.0, 1.8)",0,3730
19,47.368421052631575,601.1579132968103,1.421105260690015,31.63989017351633,D1,GBPUSD,ema_macd,"(5, 13, 30, 14, 1.5, 2.0)",8,2284
43,46.51162790697674,507.6617898256575,1.1844954042989224,11.806088135480406,D1,EURUSD,ema_macd,"(5, 13, 30, 14, 1.5, 2.0)",0,3730
108,46.2962962962963,60335.662975562984,1.2667758883375189,558.6635460700277,M30,XAUUSD,donchian,"(50, 21, 2.0, 3.0)",28,5000
80,46.25,43804.9335899007,1.2806753855095292,547.5616698737588,M30,XAUUSD,keltner,"(50, 2.0, 21, 2.0, 3.0)",28,5000
91,46.15384615384615,89617.98610432271,1.5229747264736508,984.8130341134364,M30,XAUUSD,keltner,"(30, 2.0, 21, 2.0, 3.0)",28,5000
37,45.94594594594595,702.9557233853482,1.28454659798699,18.99880333473914,D1,AUDUSD,keltner,"(50, 2.0, 21, 2.0, 3.0)",9,2284
79,45.56962025316456,13906.768979669001,1.108235654175755,176.03505037555698,M30,XAUUSD,supertrend,"(5, 1.5, 14, 1.5, 2.5)",28,5000
