n,wr,total_pips,pf,avg,tf,pair,strat,spread,bars
31,54.83870967741935,2385.7860942589323,1.81715598751023,76.96084175028814,D1,GBPUSD,ichimoku,8,2284
35,51.42857142857142,44136.63541054947,2.028237110025124,1261.046726015699,M30,XAUUSD,bb_squeeze,28,5000
19,47.368421052631575,514.59113336493,1.3270191458675034,27.083743861312104,D1,GBPUSD,dual_ma_adx,8,2284
62,46.774193548387096,1305.971979912246,1.225514713980293,21.064064192133,D1,EURUSD,ichimoku,0,3730
92,46.73913043478261,23930.499763398937,1.2431766692274502,260.1141278630319,M15,XAUUSD,ichimoku,28,5000
42,45.23809523809524,25489.17275581971,1.5249775699631087,606.8850656147549,M30,XAUUSD,breakout_retest,28,5000
43,44.18604651162791,14413.700223097294,1.3883745358549668,335.20233076970453,M15,XAUUSD,dual_ma_adx,28,5000
86,41.86046511627907,20094.97396204591,1.1452928652959773,233.66248793076642,M30,XAUUSD,adx_di,28,5000
166,40.963855421686745,1452.804033082444,1.092541912089833,8.751831524593037,D1,GBPUSD,3ema_stack,8,2284
179,40.78212290502793,951.7782483268481,1.0682940384576567,5.317196918027085,D1,EURUSD,psar,0,3730
168,40.476190476190474,1366.4919957277368,1.0850926871203896,8.133880926950814,D1,GBPUSD,hull_ma,8,2284
387,39.53488372093023,27485.61907386565,1.0372324428249042,71.02227150869678,M30,XAUUSD,3ema_stack,28,5000
236,39.40677966101695,22415.002353692053,1.1008327368271362,94.97882353259344,M15,XAUUSD,cci_trend,28,5000
18,38.88888888888889,212.59257730016583,1.2332606247339206,11.810698738898102,D1,AUDUSD,dual_ma_adx,9,2284
78,38.46153846153847,3635.2543739040775,1.0214896019801052,46.605825306462535,M30,XAUUSD,ichimoku,28,5000
235,38.297872340425535,25367.299321149396,1.0596799686867908,107.94595455808253,M30,XAUUSD,williams_r,28,5000
68,38.23529411764706,-27.788798266080533,0.9951746975272929,-0.40865879803059607,D1,EURUSD,adx_di,0,3730
189,38.095238095238095,19.5708174232644,1.0013048364479764,0.10354929853579048,D1,EURUSD,cci_trend,0,3730
336,37.797619047619044,47346.285663758965,1.0776970030762862,140.9115644754731,M30,XAUUSD,hull_ma,28,5000
244,37.704918032786885,28088.71274209635,1.0632300923039213,115.11767517252603,M30,XAUUSD,cci_trend,28,5000
169,37.278106508875744,808.7731415053611,1.0631403140093354,4.7856398905642665,D1,EURUSD,vol_breakout,0,3730
357,37.254901960784316,-18390.352001829167,0.9501776747495962,-51.513591041538284,M15,XAUUSD,3ema_stack,28,5000
226,37.16814159292036,36143.17844428956,1.0947942047895536,159.9255683375644,M30,XAUUSD,psar,28,5000
122,36.885245901639344,-984.5248485256641,0.9195232111006039,-8.06987580758741,D1,GBPUSD,cci_trend,8,2284
277,36.8231046931408,-1576.228056000844,0.9302290797142604,-5.69035399278283,D1,EURUSD,hull_ma,0,3730
210,36.666666666666664,-6418.251476863816,0.9692413233687726,-30.563102270780075,M15,XAUUSD,vol_breakout,28,5000
350,36.57142857142857,-18058.220484634254,0.9512125203798253,-51.594915670383585,M15,XAUUSD,hull_ma,28,5000
11,36.36363636363637,-41.8166687299171,0.9581830921435273,-3.8015153390833727,D1,EURUSD,bb_squeeze,0,3730
11,36.36363636363637,-43.953309391115965,0.9569160748781189,-3.9957553991923604,D1,GBPUSD,breakout_retest,8,2284
202,36.13861386138614,-54938.248867988004,0.8606860789399832,-271.97152904944556,M30,XAUUSD,vol_breakout,28,5000
86,36.04651162790697,-6003.515338945499,0.9231977878281562,-69.8083178947151,M15,XAUUSD,breakout_retest,28,5000
56,35.714285714285715,-25712.628478719693,0.7726638145791346,-459.15407997713737,M30,XAUUSD,dual_ma_adx,28,5000
233,34.763948497854074,-16034.548075283965,0.9321799122468403,-68.81780289821444,M15,XAUUSD,psar,28,5000
124,34.67741935483871,-1152.7743966842447,0.854442917057913,-9.296567715195522,D1,AUDUSD,psar,9,2284
266,34.58646616541353,-3047.27281263997,0.8651127002243026,-11.455912829473572,D1,EURUSD,3ema_stack,0,3730
29,34.48275862068966,-269.6470542090634,0.8919567372961053,-9.298174283071152,D1,EURUSD,dual_ma_adx,0,3730
189,33.86243386243386,-3047.2763229441257,0.8091267240040139,-16.12315514785252,D1,EURUSD,williams_r,0,3730
155,33.5483870967742,-1705.9554277220034,0.8269607853829638,-11.006164049819377,D1,AUDUSD,3ema_stack,9,2284
112,33.035714285714285,-2750.9857759827664,0.7652588716582003,-24.56237299984613,D1,GBPUSD,williams_r,8,2284
118,32.20338983050847,-1638.9029774118596,0.7939363401768491,-13.889008283151353,D1,AUDUSD,williams_r,9,2284
109,32.11009174311927,-2359.3534623211544,0.7916465398474829,-21.64544460845096,D1,GBPUSD,psar,8,2284
240,32.083333333333336,-56774.77554262999,0.7841310769751442,-236.5615647609583,M15,XAUUSD,williams_r,28,5000
33,30.303030303030305,-792.4382823747708,0.7079410012166419,-24.013281284083963,D1,AUDUSD,ichimoku,9,2284
106,30.18867924528302,-2729.9049551000726,0.755222153656957,-25.75382033113276,D1,GBPUSD,vol_breakout,8,2284
94,29.78723404255319,-31479.094830189337,0.6984933850167511,-334.8839875552057,M15,XAUUSD,adx_di,28,5000
179,29.608938547486037,-3978.542657562764,0.6770139180377495,-22.226495293646725,D1,AUDUSD,hull_ma,9,2284
124,29.03225806451613,-2672.942454628051,0.6910335421064973,-21.55598753732299,D1,AUDUSD,cci_trend,9,2284
101,28.71287128712871,-2449.145845423441,0.6561861380404924,-24.248968766568726,D1,AUDUSD,vol_breakout,9,2284
7,28.57142857142857,-113.05078732327777,0.7428222531251327,-16.150112474753968,D1,AUDUSD,bb_squeeze,9,2284
44,27.27272727272727,-2296.0961404592113,0.5618728900613293,-52.1840031922548,D1,GBPUSD,adx_di,8,2284
39,25.64102564102564,-1323.3086914936898,0.5535536175799614,-33.93099208958179,D1,AUDUSD,adx_di,9,2284
83,25.301204819277107,-757.6065559061033,0.5300205211343385,-9.127789830194015,M30,GBPUSD,ichimoku,10,5000
85,24.705882352941178,-726.3804127398265,0.43404071848755654,-8.545651914586195,M30,AUDUSD,ichimoku,9,5000
42,23.809523809523807,-23380.910068109188,0.47812472422452573,-556.6883349549806,M15,XAUUSD,bb_squeeze,28,5000
20,20.0,-665.5942169241479,0.6130839041507476,-33.279710846207394,D1,EURUSD,breakout_retest,0,3730
96,19.791666666666664,-993.700526934245,0.48291196722347485,-10.351047155565052,M30,USDJPY,ichimoku,13,5000
321,17.75700934579439,-2652.818937655925,0.43054864593018205,-8.26423345064151,M30,GBPUSD,williams_r,10,5000
83,16.867469879518072,-811.9293573162835,0.35273976567403625,-9.782281413449198,M30,EURUSD,ichimoku,9,5000
49,14.285714285714285,-443.5373944665643,0.2860778281562905,-9.051783560542129,M30,EURUSD,dual_ma_adx,9,5000
163,14.11042944785276,-1653.0581193766423,0.32295027362924633,-10.141460855071426,M30,GBPUSD,breakout_retest,10,5000
529,13.23251417769376,-5686.039279127924,0.2926002851001706,-10.74865648228341,M30,GBPUSD,3ema_stack,10,5000
296,12.837837837837837,-3307.362324324701,0.2716941804252,-11.173521365961829,M30,GBPUSD,vol_breakout,10,5000
495,12.727272727272727,-5662.926983306247,0.2771206387610245,-11.440256531931812,M30,GBPUSD,hull_ma,10,5000
364,12.637362637362637,-4135.479588936605,0.2588776606363335,-11.36120766191375,M30,GBPUSD,cci_trend,10,5000
330,12.121212121212121,-2744.2874014902704,0.28728640026180435,-8.316022428758396,M30,AUDUSD,williams_r,9,5000
158,12.025316455696203,-1253.1343810850638,0.2890380796711468,-7.9312302600320495,M30,EURUSD,breakout_retest,9,5000
