n,wr,total_pips,pf,avg,tf,pair,strat,spread,bars
15,60.0,822.9334016179024,1.8773641311418248,54.862226774526825,D1,EURUSD,super_adx15,0,3730
16,50.0,12005.578567307475,1.5139293585949667,750.3486604567172,M30,XAUUSD,super_adx25,28,5000
10,50.0,195.7075084721094,1.260175752227639,19.570750847210938,D1,EURUSD,super_adx20,0,3730
39,48.717948717948715,19659.994318968984,1.6006901601378585,504.10241843510215,M15,XAUUSD,super_adx15,28,5000
20,45.0,421.451038379581,1.331480243654684,21.072551918979052,D1,EURUSD,ema_macd_adx15,0,3730
28,42.857142857142854,-4659.050342665978,0.9101932326812503,-166.3946550952135,M30,XAUUSD,super_adx20,28,5000
26,42.30769230769231,4904.544111026826,1.190035928259965,188.63631196257023,M15,XAUUSD,super_adx20,28,5000
19,42.10526315789473,3020.41432823753,1.1503598842712777,158.9691751703963,M15,XAUUSD,super_adx25,28,5000
39,41.02564102564102,-8353.92425316877,0.8798618110008525,-214.20318597868643,M30,XAUUSD,super_adx15,28,5000
25,32.0,-2109.111112523078,0.9173706496463461,-84.36444450092313,M15,XAUUSD,ema_macd_adx15,28,5000
24,25.0,-17709.127521188475,0.6129538860129348,-737.8803133828532,M30,XAUUSD,ema_macd_adx15,28,5000
17,23.52941176470588,-122.89859250171563,0.4494538344788811,-7.229328970689155,M30,AUDUSD,ema_macd_adx15,9,5000
25,20.0,-120.28598196255123,0.5638064990744132,-4.811439278502049,M30,EURUSD,ema_macd_adx15,9,5000
17,17.647058823529413,-99.52572795337744,0.5754645907512261,-5.854454585492791,M30,USDJPY,ema_macd_adx20,13,5000
35,17.142857142857142,-298.20282749832074,0.4552683736790078,-8.520080785666307,M30,USDJPY,ema_macd_adx15,13,5000
12,16.666666666666664,-53.34893440602117,0.43718039927288077,-4.445744533835097,M15,EURUSD,super_adx25,9,5000
27,14.814814814814813,-349.9354476453618,0.3438133269569855,-12.9605721350134,M30,USDJPY,super_adx20,13,5000
22,13.636363636363635,-307.39368980975144,0.3291992436171738,-13.972440445897792,M30,USDJPY,super_adx25,13,5000
15,13.333333333333334,-129.57269558211638,0.2799202045323084,-8.638179705474425,M15,GBPUSD,super_adx25,10,5000
42,11.904761904761903,-549.7578886827381,0.2615733833930697,-13.089473540065192,M30,GBPUSD,super_adx15,10,5000
17,11.76470588235294,-130.5253081871871,0.3321378512321935,-7.677959305128653,M30,USDCHF,super_adx25,12,5000
17,11.76470588235294,-160.32398827329874,0.3082644775893179,-9.430822839605808,M30,EURUSD,super_adx25,9,5000
18,11.11111111111111,-102.32222676636592,0.2971353524968665,-5.684568153686995,M15,AUDUSD,super_adx25,9,5000
18,11.11111111111111,-261.72284790785034,0.18057704164980967,-14.540158217102796,M30,GBPUSD,super_adx25,10,5000
28,10.714285714285714,-231.15762038511627,0.2435692462578885,-8.255629299468438,M15,GBPUSD,super_adx20,10,5000
39,10.256410256410255,-226.84228779070173,0.24174454015478325,-5.816468917710301,M15,AUDUSD,super_adx15,9,5000
20,10.0,-227.599226587869,0.14947730468914194,-11.37996132939345,M30,AUDUSD,super_adx25,9,5000
30,10.0,-433.5979749330043,0.20584950481311448,-14.453265831100143,M30,GBPUSD,super_adx20,10,5000
40,10.0,-600.7609769669784,0.23383265544305393,-15.01902442417446,M30,USDJPY,super_adx15,13,5000
38,7.894736842105263,-489.847209105142,0.12814020875323034,-12.890716029082684,M30,AUDUSD,super_adx15,9,5000
26,7.6923076923076925,-159.35555885423057,0.21349467947424422,-6.129059955931945,M15,AUDUSD,super_adx20,9,5000
14,7.142857142857142,-124.03881304081494,0.21837271995447763,-8.859915217201067,M15,USDJPY,super_adx25,13,5000
28,7.142857142857142,-210.3670747381847,0.164569635113423,-7.513109812078025,M15,EURUSD,super_adx20,9,5000
43,6.976744186046512,-400.2171833143931,0.1807024140922136,-9.307376356148676,M30,USDCHF,super_adx15,12,5000
43,6.976744186046512,-479.2879985969978,0.1749925828127951,-11.146232525511577,M30,EURUSD,super_adx15,9,5000
29,6.896551724137931,-400.2457043607921,0.09085838089489848,-13.801576012441107,M30,AUDUSD,super_adx20,9,5000
30,6.666666666666667,-280.1801584425001,0.1881009275969488,-9.339338614750003,M30,USDCHF,super_adx20,12,5000
45,6.666666666666667,-413.63944352796005,0.15250279974295053,-9.191987633954668,M15,GBPUSD,super_adx15,10,5000
31,6.451612903225806,-359.49860681929067,0.16579056056671995,-11.596729252235184,M30,EURUSD,super_adx20,9,5000
38,5.263157894736842,-290.02374006618095,0.12502057949712742,-7.63220368595213,M15,EURUSD,super_adx15,9,5000
21,4.761904761904762,-211.63185616577493,0.14070722439065148,-10.077707436465474,M15,USDJPY,super_adx20,13,5000
28,3.571428571428571,-270.2778933467642,0.08001166620824737,-9.652781905241579,M15,GBPUSD,ema_macd_adx15,10,5000
32,3.125,-322.0872702363607,0.09714101568810264,-10.065227194886273,M15,USDJPY,super_adx15,13,5000
33,3.0303030303030303,-324.6674075079758,0.11004731431254833,-9.838406288120478,M30,USDCHF,ema_macd_adx15,12,5000
34,2.941176470588235,-256.76237370149784,0.06347744669144416,-7.55183452063229,M15,AUDUSD,ema_macd_adx15,9,5000
11,0.0,-99.47131924523457,0.0,-9.042847204112233,M15,AUDUSD,ema_macd_adx20,9,5000
10,0.0,-101.86558465861583,0.0,-10.186558465861584,M15,GBPUSD,ema_macd_adx20,10,5000
15,0.0,-104.39797385312752,0.0,-6.959864923541835,M15,USDCHF,ema_macd_adx20,12,5000
12,0.0,-137.91685942489949,0.0,-11.493071618741624,M15,USDJPY,ema_macd_adx20,13,5000
20,0.0,-178.07618173083515,0.0,-8.903809086541758,M15,EURUSD,ema_macd_adx15,9,5000
23,0.0,-182.44270726958894,0.0,-7.93229162041691,M15,USDCHF,super_adx25,12,5000
23,0.0,-243.151486797629,0.0,-10.571803773809956,M15,USDJPY,ema_macd_adx15,13,5000
38,0.0,-264.8171869380322,0.0,-6.9688733404745316,M15,USDCHF,ema_macd_adx15,12,5000
13,0.0,-271.06297360760755,0.0,-20.850997969815964,M30,GBPUSD,ema_macd_adx20,10,5000
40,0.0,-311.2242885401517,0.0,-7.780607213503792,M15,USDCHF,super_adx20,12,5000
49,0.0,-370.6704442605157,0.0,-7.564702944092157,M15,USDCHF,super_adx15,12,5000
33,0.0,-677.2893938733771,0.0,-20.523921026465974,M30,GBPUSD,ema_macd_adx15,10,5000
